datetime,realization,ORO_fnf,SHA_fnf,FOL_fnf,YRS_fnf,NML_fnf,DNP_fnf,EXC_fnf,MIL_fnf,PFT_fnf,KWH_fnf,SUC_fnf,ISB_fnf
8/26/2011,1,1723.442974,2058.691454,1288.245223,1125.310921,1543.417409,2421.233012,1478.035984,7208.044116,7432.99593,699.5314575,188.2812944,1562.495704
8/27/2011,1,1652.578192,2002.720487,1258.71986,1101.777864,1498.121484,2385.25732,1448.700939,6843.446993,7615.9966,680.1633671,180.0737202,1599.247977
8/28/2011,1,1609.568405,1972.525244,1216.435636,1066.200371,1459.6211,2349.757867,1421.036357,6670.582707,7810.003016,663.2304976,174.3156173,1642.347074
8/29/2011,1,1612.166251,1943.38645,1202.518808,1049.835351,1429.096205,2318.528225,1396.876461,6272.820269,7765.635571,651.1165761,172.1150152,1568.23052
8/30/2011,1,1612.834104,1900.291857,1199.417424,1036.606642,1406.052667,2295.477587,1379.128273,5810.711213,7255.46478,643.7737312,169.6203225,1477.723742
8/31/2011,1,1594.852921,1854.859866,1181.208136,1019.71079,1389.780314,2277.803935,1365.880083,5314.399896,6282.414863,640.0987653,170.4460762,1442.375586
9/1/2011,1,1568.99887,1812.356077,1156.757681,999.5962837,1361.218176,2254.132112,1348.114687,4728.938343,5398.483277,632.7003795,169.047155,1424.233409
9/2/2011,1,1513.916121,1751.848824,1123.472048,972.4576854,1329.536558,2224.571616,1327.438767,4341.18285,5015.951239,618.6593701,162.8956146,1398.472334
9/3/2011,1,1454.355293,1682.921294,1094.625543,975.7070672,1291.449815,2189.873795,1303.124357,4248.27339,5094.392538,599.4273593,156.4023752,1368.079295
9/4/2011,1,1386.25399,1656.532267,1063.993535,963.7928236,1259.85042,2158.395662,1280.426452,4252.005819,5117.440775,592.0717438,152.5870585,1343.813126
9/5/2011,1,1352.556003,1661.105626,1042.116998,937.8927634,1227.017262,2127.979665,1258.453279,4159.967469,4970.633662,581.136205,148.6295344,1324.128294
9/6/2011,1,1325.706895,1645.494358,1028.593412,884.0248547,1201.729828,2104.419784,1241.276355,4050.908671,4845.810761,571.0868756,145.7631112,1300.368584
9/7/2011,1,1280.78368,1615.191669,1003.387772,837.6083504,1180.316209,2078.885534,1222.087481,3983.558253,4830.644378,557.2876121,141.4023544,1281.276624
9/8/2011,1,1200.386253,1571.724248,968.911222,801.6910426,1153.064121,2049.992275,1199.94673,3932.290696,4682.04898,543.471736,135.432932,1258.64938
9/9/2011,1,1146.371901,1581.008842,940.2917312,775.1944491,1127.887718,2039.158756,1199.326191,3845.18206,4427.867007,540.9854381,134.5150023,1243.248623
9/10/2011,1,1142.965946,1590.785185,949.8266738,782.3744626,1140.387289,2200.242936,1347.492694,3790.562174,4320.578985,548.4589655,128.9552128,1262.395298
9/11/2011,1,1170.499668,1562.368158,1063.20047,793.9196312,1208.500039,2593.814272,1508.54672,3773.524214,4245.044016,553.027017,128.4381473,1290.818189
9/12/2011,1,1356.690575,1801.322069,1143.360872,826.0140205,1261.979558,3238.737545,1938.844152,3718.837697,4200.837671,663.1404585,134.7355923,1453.058399
9/13/2011,1,1861.465232,2676.989927,1050.143857,1059.775944,1257.873169,3845.647344,2046.162856,3590.538203,4442.927421,732.7050078,135.307398,1603.064863
9/14/2011,1,1632.864385,2274.92521,930.7456474,998.5990438,1250.701551,4709.531533,2566.691568,3745.758852,4531.89658,670.7052933,130.0348763,1521.192757
9/15/2011,1,1191.839359,1555.717923,890.3715231,802.9332546,1168.57648,4468.498675,2655.849744,3722.678211,4084.097954,579.7928882,122.5100999,1335.353949
9/16/2011,1,1149.346138,1395.042548,890.8513797,747.4174229,1073.069656,2841.477325,1670.671518,3351.559542,3652.000875,515.7686714,120.3603535,1204.872753
9/17/2011,1,1168.043583,1337.401781,926.653543,737.1272686,1034.819342,2018.693307,1139.276108,3132.142954,3425.143756,494.464453,123.1830397,1145.046161
9/18/2011,1,1123.771557,1284.805032,926.8954476,718.8983016,1014.744926,1947.75932,1109.254093,3032.319967,3299.798552,484.4484723,120.7268773,1120.389497
9/19/2011,1,1049.096457,1233.69533,867.7813669,688.1054934,980.9925172,1971.736291,1095.7379,3014.322266,3324.491541,470.6137353,115.0269157,1098.721503
9/20/2011,1,992.2605742,1209.113156,810.1502853,659.0521394,946.497769,2044.894574,1077.290368,3060.081978,3471.738107,469.0203518,110.079758,1093.113797
